Name,Short_Desc,Latitude,Longitude,Address,Hours,Desc1,Desc2,Desc3,Desc4,Desc5,Website,Pic_URL
Trio,Cool contemporary restaurant in the Uptown Design District,33.833283,-116.547039,"707 N Palm Canyon Dr, Palm Springs, CA 92262",Open daily. Lunch 11am to 2 pm. Dinner 4pm-10pm (11pm Fri and Sat).,Trendy atmosphere with nicely designed interior. Can be pricey.,They offer a three course fixed price menu from 11am to 6pm daily., , , ,http://www.triopalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_trio.png
El Mirasol at Los Arboles,Mexican restaurant in very attractive building with a walled garden patio.,33.833423,-116.54534,"266 Via Altamira, Palm Springs, CA 92262 (off North Indian Canyon Drive) in the Los Arboles Hotel.",Lunch and dinner. Brunch style selections 10am-2pm Fri-Sun.,"There are two El Mirasol restaurants in town. This is the nicest of the two, with indoor and outdoor seating in an attractive adobe-style building, with a very pleasant walled garden patio.","Specialities of the house include mole poblano, pollo en pipian (sauce made with ground roasted pumpkin seeds), and carne asada. Some vegetarian options too.",See their website for more about the menu and their unlisted menu items that are available on request if they have the ingredients., , ,http://www.elmirasolrestaurants.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_el_mirasol.png
Copley's on Palm Canyon,Upscale fine American cuisine in part of Cary Grant's old estate.,33.832237,-116.547327,"621 North Palm Canyon Drive, Palm Springs, CA 92262",Opens daily at 6pm except closed Mondays in summer and closed during mid-summer so check website.,"Expensive, classy, but casual dinner experience. Eat inside in the former 1940's guesthouse of Cary Grant's estate, or on the mountain-view patio. Reservations recommended.",Check their website for occasional special 'family style' communal dinner events., , , ,http://www.copleyspalmsprings.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_copleys.png
Cheeky's,Very popular breakfast and lunch spot.,33.832205,-116.546672,"622 North Palm Canyon Drive, Palm Springs, CA 92262",Daily 8am-2pm. Breakfast served throughout. Lunch is served after 11.30am.,"Very popular spot for breakfast or lunch in the Uptown Design District. Interesting menu with items like 'garnet yam hash with maple sage sausage and poached eggs' and 'omelette with rainbow chard, serrano chile, roasted cumin and drunken goat cheese'.", , , , ,http://www.cheekysps.com,http://downloads.esri.com/blogs/places/palmsprings/restaurant_cheekys.png
Cafe Europa,Breakfast and lunch place with patio in nice courtyard.,33.830797,-116.547074,"515 N Palm Canyon, Palm Springs, CA 92262",Summer: 8am-2.30pm (but check website). Winter: 9am-3.30pm.,Cafe Europa offers cafe/bistro style food and a trendy atmosphere. The businesses in this building share a courtyard garden with views of the mountains. It's located at the south end of the Uptown Design District., , , , ,http://www.cafeeuropapalmsprings.com/,http://downloads.esri.com/blogs/places/palmsprings/cafe_europa.png
Koffi,Hip coffee bar with nice courtyard.,33.830449,-116.547047,"515 North Palm Canyon Drive, Palm Springs, CA 92262 near the corner of West Alejo Road.",Daily 5.30am-7pm.,Hip coffee bar in historic commercial building. A secret garden courtyard out back known only to locals has beautiful mountain vistas. Free wi-fi.,They also have a location south of downtown on East Palm Canyon Drive., , , ,http://www.kofficoffee.com,http://downloads.esri.com/blogs/places/palmsprings/cafe_koffi.png
Purple Palm Restaurant and Bar,Very romantic hideway in quiet small hotel.,33.831421,-116.545058,"572 North Indian Canyon Drive, Palm Springs, CA 92262 in the Colony Palms Hotel",Daily 8am-10pm (Fri and Sat 11pm). Bar closes one hour after restaurant.,Hidden away in the beautiful Colony Palms Hotel you'll find this glamorous small restaurant with indoor or poolside seating in the garden. Expensive., , , , ,http://www.colonypalmshotel.com/dining.php,http://downloads.esri.com/blogs/places/palmsprings/restaurant_purple_palm.png
Tyler's Burgers,Local institution widely considered best burger in town.,33.822036,-116.54581,"149 S Indian Canyon Dr, Palm Springs, CA 92262",Mon-Sat 11am-4pm. Closed Sunday. Note: Cash only.,Tyler's has been here in the Mercado Plaza for years serving a classic menu of burgers and sandwiches. A recent Los Angeles Times story said that if you ask almost anyone in Palm Springs where to get a great burger the answer probably is Tyler's.,"They also serve soups, old-fashioned malts too, and chili. Beer too. Indoor and outdoor seating. The building dates back to 1936.  Inexpensive.", , , ,http://tylersburgers.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_tylers.png
Sherman's Deli and Bakery,Old school Jewish deli and local institution close to Convention Center.,33.822874,-116.54323,"401 E Tahquitz Canyon Way, Palm Springs, CA 92262. Opposite the Hilton Palm Springs Hotel between Calle Encilia and Calle El Segundo.",Daily 7am-9pm.,This old school Kosher-style family restaurant is a local institution popular with residents and people attending conferences at the nearby Convention Center.,"Particularly good for breakfast with big omlettes, waffles, and kosher favorites like bagels and lox, whitefish, kippers, and gefilte fish. Huge lunch and dinner menu includes big sandwiches, roast brisket, cheese blintzes, meatloaf, and so on.",Dessert includes New York cheese cake. Indoor or patio seating., , ,http://www.shermansdeli.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_shermans.png
Palm Greens Cafe,Friendly place with healthy food and nice atmosphere.,33.813554,-116.54681,"611 S. Palm Canyon Drive, Palm Springs, CA 92264 in shopping mall",Daily 7am-3pm for lunch. 5pm - 9pm for dinner. Check with restaurant because hours are seasonal.,Very friendly place serving healthy high quality organic food. This is your best bet for wholefood type dining in Palm Springs. Fresh squeezed juices and smoothies too. Nice environment.,Great place for brunch after an early morning hike., , , ,http://palmgreenscafe.com/,http://downloads.esri.com/blogs/places/palmsprings/restaurant_palm_greens.png
